Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",360000,3,2.0,1,Condominium (Intermediate),1088,Partly Furnished,Condo,3.0925,101.6748
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium (EndLot),751,Partly Furnished,Condo,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1865000,4,5.0,3,Condominium (Corner),2535,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1308000,2,1.0,1,Condominium (Corner),753,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1760000,3,2.0,2,Condominium (Corner),1159,Fully Furnished,Condo,3.1578,101.7123
"Sungai Besi, Kuala Lumpur",568000,2,2.0,2,Condominium (Corner),904,Partly Furnished,Condo,3.0645,101.7162
"KLCC, Kuala Lumpur",1020000,3,2.0,1,Serviced Residence (Corner),813,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2400000,2,2.0,1,Serviced Residence (Corner),1103,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1099000,3,2.0,1,Serviced Residence,833,Fully Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1420000,4,4.0,2,Condominium,1496,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2550000,5,5.0,2,Condominium,2973,Partly Furnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",980000,5,3.0,2,Condominium (Corner),1513,Fully Furnished,Condo,3.0593,101.6895
"Damansara Heights, Kuala Lumpur",2650000,4,5.0,3,Serviced Residence,2077,Partly Furnished,Serviced Residence,3.1412,101.6618
"KLCC, Kuala Lumpur",1420000,3,2.0,1,Condominium (Corner),976,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2889000,1,2.0,1,Serviced Residence (Intermediate),1163,Fully Furnished,Serviced Residence,3.1578,101.7123
"City Centre, Kuala Lumpur",1080000,2,2.0,1,Condominium (Intermediate),1411,Partly Furnished,Condo,3.1554,101.714
"City Centre, Kuala Lumpur",916000,1,1.0,1,Condominium,1119,Fully Furnished,Condo,3.1554,101.714
"Mont Kiara, Kuala Lumpur",2500000,6,4.0,4,Semi-detached House,3833,Partly Furnished,Semi-detached House,3.1718,101.6501
"Damansara Heights, Kuala Lumpur",1600000,2,2.0,1,Serviced Residence,1152,Partly Furnished,Serviced Residence,3.1412,101.6618
"Cheras, Kuala Lumpur",535000,1,1.0,1,Serviced Residence (Intermediate),762,Partly Furnished,Serviced Residence,3.0958,101.7405
"KLCC, Kuala Lumpur",1200000,3,3.0,2,Serviced Residence,1335,Fully Furnished,Serviced Residence,3.1578,101.7123
"KL Sentral, Kuala Lumpur",2550000,4,5.0,2,Serviced Residence (Corner),1830,Partly Furnished,Serviced Residence,3.1328,101.6851
"Ampang, Kuala Lumpur",1480000,4,4.0,2,Condominium (Intermediate),1876,Fully Furnished,Condo,3.1589,101.7615
"Sungai Besi, Kuala Lumpur",1348000,5,6.0,4,3-sty Terrace/Link House (Intermediate),3216,Unfurnished,Terrace/Link House,3.0645,101.7162
"Setapak, Kuala Lumpur",428000,4,2.0,2,Serviced Residence,918,Partly Furnished,Serviced Residence,3.2061,101.7271
"Mont Kiara, Kuala Lumpur",618000,1,1.0,1,Serviced Residence (Intermediate),462,Fully Furnished,Serviced Residence,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1590000,4,3.0,2,Condominium,2201,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1700000,4,4.0,2,Condominium,1496,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1950000,5,4.0,2,Condominium,1830,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",2300000,1,1.0,2,Serviced Residence (Corner),1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1250000,3,3.0,2,Serviced Residence (Corner),1335,Fully Furnished,Serviced Residence,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",370000,3,2.0,2,Serviced Residence (Intermediate),950,Partly Furnished,Serviced Residence,3.0925,101.6748
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium (EndLot),751,Fully Furnished,Condo,3.1578,101.7123
"KL Eco City, Kuala Lumpur",1288972,2,2.0,1,Condominium,1076,Fully Furnished,Condo,3.1173,101.6757
"Cheras, Kuala Lumpur",410000,2,2.0,2,Condominium (Corner),885,Partly Furnished,Condo,3.0958,101.7405
"Damansara Heights, Kuala Lumpur",1770000,2,2.0,1,Serviced Residence,1152,Fully Furnished,Serviced Residence,3.1412,101.6618
"Mont Kiara, Kuala Lumpur",1860000,4,4.0,2,Condominium (Corner),2070,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1450000,2,2.0,1,Serviced Residence (Corner),1050,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",1060000,5,4.0,4,Condominium (Corner),1772,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,2,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1080000,4,4.0,2,Condominium (Intermediate),1875,Partly Furnished,Condo,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",1880000,4,3.0,2,Condominium,2243,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1685000,4,3.0,2,Condominium,2038,Partly Furnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",550000,3,2.0,2,Condominium (Intermediate),1073,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium,751,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2500000,1,2.0,1,Serviced Residence,1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"Bukit Bintang, Kuala Lumpur",2044800,2,2.0,1,Serviced Residence,912,Fully Furnished,Serviced Residence,3.1466,101.7093
"Bukit Jalil, Kuala Lumpur",1250000,4,4.0,2,Condominium,1700,Fully Furnished,Condo,3.0593,101.6895
"Mont Kiara, Kuala Lumpur",1420000,4,4.0,2,Condominium,1496,Partly Furnished,Condo,3.1718,101.6501
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",928000,4,2.0,2,Condominium (EndLot),1523,Unfurnished,Condo,3.0925,101.6748
"Bukit Jalil, Kuala Lumpur",565000,3,2.0,2,Condominium,1100,Partly Furnished,Condo,3.0593,101.6895
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1550000,4,4.0,4,Condominium (Corner),2638,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",670000,3,2.0,2,Serviced Residence,907,Fully Furnished,Serviced Residence,3.0925,101.6748
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium,657,Partly Furnished,Condo,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",2230000,5,5.0,3,Condominium,2973,Partly Furnished,Condo,3.1718,101.6501
"City Centre, Kuala Lumpur",830000,2,2.0,1,Condominium (Intermediate),1072,Fully Furnished,Condo,3.1554,101.714
"City Centre, Kuala Lumpur",1100000,4,4.0,2,Condominium (Intermediate),2111,Partly Furnished,Condo,3.1554,101.714
"KLCC, Kuala Lumpur",2300000,1,2.0,1,Serviced Residence,1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium (EndLot),751,Partly Furnished,Condo,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1780000,3,3.0,2,Serviced Residence (Corner),1523,Partly Furnished,Serviced Residence,3.1718,101.6501
"KLCC, Kuala Lumpur",1350000,2,2.0,1,Serviced Residence,900,Fully Furnished,Serviced Residence,3.1578,101.7123
"Sentul, Kuala Lumpur",375000,2,2.0,1,Serviced Residence,743,Unfurnished,Serviced Residence,3.189,101.6896
"Bangsar South, Kuala Lumpur",380000,2,1.0,1,Apartment,452,Partly Furnished,Apartment,3.1124,101.6654
"KLCC, Kuala Lumpur",970000,1,1.0,1,Serviced Residence (Intermediate),603,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",900000,4,3.0,2,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",1060000,5,4.0,4,Condominium (Corner),1772,Partly Furnished,Condo,3.0593,101.6895
"Desa ParkCity, Kuala Lumpur",2300000,5,5.0,3,Condominium (Corner),2454,Partly Furnished,Condo,3.1865,101.6341
"Setapak, Kuala Lumpur",520000,4,2.0,2,Condominium (Corner),1450,Partly Furnished,Condo,3.2061,101.7271
"KL City, Kuala Lumpur",1420000,4,3.0,2,Serviced Residence (Corner),1582,Fully Furnished,Serviced Residence,3.1543,101.7155
"KL Sentral, Kuala Lumpur",1065140,3,3.0,2,Serviced Residence (Corner),1025,Partly Furnished,Serviced Residence,3.1328,101.6851
"KLCC, Kuala Lumpur",1299000,2,2.0,1,Serviced Residence (Corner),900,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1238000,2,2.0,1,Condominium,736,Partly Furnished,Condo,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",2390000,5,4.0,3,Condominium,3043,Unfurnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",850000,3,2.0,2,Condominium,1335,Fully Furnished,Condo,3.0593,101.6895
"Mont Kiara, Kuala Lumpur",1850000,4,3.0,2,Condominium,2020,Fully Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1000000,3,2.0,1,Serviced Residence,811,Fully Furnished,Serviced Residence,3.1578,101.7123
"Taman Desa, Kuala Lumpur",2688888,6,5.0,9,Condominium,4069,Partly Furnished,Condo,3.1026,101.6857
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",550000,1,2.0,1,Serviced Residence (Intermediate),775,Fully Furnished,Serviced Residence,3.0925,101.6748
"KLCC, Kuala Lumpur",1000000,3,2.0,1,Serviced Residence (Intermediate),849,Fully Furnished,Serviced Residence,3.1578,101.7123
"City Centre, Kuala Lumpur",1730000,3,3.0,1,Serviced Residence (Corner),1442,Fully Furnished,Serviced Residence,3.1554,101.714
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,3,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",1060000,5,4.0,4,Condominium (Corner),1772,Partly Furnished,Condo,3.0593,101.6895
"Sungai Besi, Kuala Lumpur",630000,3,2.0,2,Serviced Residence,1025,Partly Furnished,Serviced Residence,3.0645,101.7162
"Bukit Jalil, Kuala Lumpur",900000,3,2.0,2,Serviced Residence,1170,Partly Furnished,Serviced Residence,3.0593,101.6895
"Sungai Besi, Kuala Lumpur",800000,3,3.0,2,Serviced Residence,1430,Partly Furnished,Serviced Residence,3.0645,101.7162
"Bukit Jalil, Kuala Lumpur",1750000,5,5.0,3,Condominium (Corner),2700,Partly Furnished,Condo,3.0593,101.6895
"Wangsa Maju, Kuala Lumpur",1613300,4,4.0,3,Condominium (Corner),2336,Partly Furnished,Condo,3.2041,101.7372
"KL Eco City, Kuala Lumpur",1200000,2,2.0,1,Condominium,969,Partly Furnished,Condo,3.1173,101.6757
"Mont Kiara, Kuala Lumpur",2285000,6,6.0,3,Condominium (Corner),2874,Partly Furnished,Condo,3.1718,101.6501
"Cheras, Kuala Lumpur",363000,3,2.0,1,Serviced Residence (Intermediate),950,Partly Furnished,Serviced Residence,3.0958,101.7405
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1430000,4,4.0,3,Condominium (Corner),2638,Partly Furnished,Condo,3.0925,101.6748
"Segambut, Kuala Lumpur",1147000,6,5.0,5,Condominium,2500,Partly Furnished,Condo,3.189,101.6628
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium,751,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1780000,1,1.0,1,Serviced Residence,728,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1900000,3,2.0,1,Condominium,915,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium (EndLot),751,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1450000,2,2.0,1,Serviced Residence (Intermediate),1050,Fully Furnished,Serviced Residence,3.1578,101.7123
"Desa ParkCity, Kuala Lumpur",1150000,3,2.0,2,Condominium (Corner),1580,Partly Furnished,Condo,3.1865,101.6341
"KLCC, Kuala Lumpur",1780000,1,1.0,1,Serviced Residence,728,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bukit Bintang, Kuala Lumpur",900000,3,3.0,1,Serviced Residence (Intermediate),1063,Fully Furnished,Serviced Residence,3.1466,101.7093
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",938000,3,3.0,2,Condominium (Intermediate),1523,Partly Furnished,Condo,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",1800000,4,4.0,2,Condominium,2038,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1450000,4,4.0,2,Condominium,1496,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1200000,3,2.0,2,Condominium,1200,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1850000,4,4.0,2,Condominium,2038,Partly Furnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",980000,5,3.0,2,Condominium,1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",1377000,2,2.0,1,Condominium (Intermediate),871,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1621000,3,2.0,2,Condominium (Intermediate),1031,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1245000,1,1.0,2,Serviced Residence (Intermediate),925,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1830000,4,4.0,2,Serviced Residence,1426,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2688800,4,5.0,2,Condominium (Corner),2593,Fully Furnished,Condo,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1100000,3,2.0,2,Condominium,1200,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1198800,1,1.0,1,Serviced Residence,636,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1250000,1,1.0,1,Serviced Residence (Corner),925,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1830000,2,2.0,1,Serviced Residence,1076,Partly Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1840000,4,4.0,3,Condominium (Corner),2694,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1690000,4,4.0,2,Condominium (Intermediate),2020,Partly Furnished,Condo,3.1718,101.6501
"KL Sentral, Kuala Lumpur",1380000,3,2.0,1,Condominium,1500,Fully Furnished,Condo,3.1328,101.6851
"Bangsar, Kuala Lumpur",1550000,3,2.0,2,Townhouse (Intermediate),2400,Fully Furnished,Townhouse,3.1283,101.6793
"KLCC, Kuala Lumpur",1900000,2,2.0,1,Serviced Residence (Intermediate),1076,Fully Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",2890000,5,6.0,3,Condominium (Corner),3478,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",600000,1,1.0,1,Serviced Residence (Intermediate),633,Fully Furnished,Serviced Residence,3.1718,101.6501
"KLCC, Kuala Lumpur",2270000,2,2.0,1,Serviced Residence,1087,Fully Furnished,Serviced Residence,3.1578,101.7123
"Setapak, Kuala Lumpur",418000,2,2.0,2,Serviced Residence (Corner),900,Partly Furnished,Serviced Residence,3.2061,101.7271
"Cheras, Kuala Lumpur",318000,2,2.0,1,Condominium (Intermediate),970,Fully Furnished,Condo,3.0958,101.7405
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium,657,Partly Furnished,Condo,3.1578,101.7123
"KL Eco City, Kuala Lumpur",780000,1,1.0,1,Condominium,657,Partly Furnished,Condo,3.1173,101.6757
"Kuchai Lama, Kuala Lumpur",700000,4,3.0,2,Condominium (Intermediate),1496,Partly Furnished,Condo,3.0922,101.6862
"Bukit Jalil, Kuala Lumpur",1068000,5,3.0,4,Condominium (Corner),1772,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",1420000,2,2.0,1,Condominium (Intermediate),976,Partly Furnished,Condo,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",2330000,5,5.0,3,Condominium (Corner),2702,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1780000,4,4.0,2,Condominium (Corner),2073,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1050000,1,1.0,1,Condominium (Intermediate),751,Fully Furnished,Condo,3.1578,101.7123
"Cheras, Kuala Lumpur",530000,4,2.0,1,Condominium (Intermediate),1394,Unfurnished,Condo,3.0958,101.7405
"KLCC, Kuala Lumpur",1637500,2,2.0,1,Condominium,976,Fully Furnished,Condo,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",669000,4,2.0,2,Serviced Residence (Intermediate),1094,Unfurnished,Serviced Residence,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1438000,4,4.0,4,Condominium (Intermediate),2378,Unfurnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1280000,5,4.0,3,Condominium (Intermediate),2128,Fully Furnished,Condo,3.0925,101.6748
"KLCC, Kuala Lumpur",1000000,4,3.0,2,Serviced Residence,1313,Fully Furnished,Serviced Residence,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",945000,3,3.0,2,Condominium (Intermediate),1523,Partly Furnished,Condo,3.0925,101.6748
"KLCC, Kuala Lumpur",1550000,2,2.0,1,Serviced Residence,711,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2670000,2,2.0,1,Serviced Residence,1114,Fully Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",908000,2,2.0,1,Serviced Residence,873,Partly Furnished,Serviced Residence,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1150000,2,2.0,1,Serviced Residence,910,Partly Furnished,Serviced Residence,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1100000,2,2.0,1,Serviced Residence,907,Fully Furnished,Serviced Residence,3.1718,101.6501
"Sungai Besi, Kuala Lumpur",664000,3,2.0,2,Condominium (Corner),1260,Partly Furnished,Condo,3.0645,101.7162
"KLCC, Kuala Lumpur",1050000,1,1.0,1,Condominium (EndLot),751,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",990000,1,1.0,1,Condominium,657,Partly Furnished,Condo,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1450000,4,4.0,2,Condominium (Intermediate),1496,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1230000,1,1.0,1,Serviced Residence (Intermediate),850,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium (Intermediate),657,Partly Furnished,Condo,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1685000,4,4.0,2,Condominium (Corner),2038,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2800000,5,5.0,3,Condominium,3041,Fully Furnished,Condo,3.1718,101.6501
"Damansara Heights, Kuala Lumpur",2600000,4,4.0,2,Serviced Residence,1851,Partly Furnished,Serviced Residence,3.1412,101.6618
"Damansara Heights, Kuala Lumpur",1400000,1,1.0,1,Serviced Residence,904,Partly Furnished,Serviced Residence,3.1412,101.6618
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium,751,Partly Furnished,Condo,3.1578,101.7123
"Cheras, Kuala Lumpur",450000,3,2.0,2,Condominium,1018,Unfurnished,Condo,3.0958,101.7405
"KL Eco City, Kuala Lumpur",1061100,2,1.0,1,Condominium,786,Partly Furnished,Condo,3.1173,101.6757
"KL Eco City, Kuala Lumpur",900000,1,1.0,1,Condominium,657,Fully Furnished,Condo,3.1173,101.6757
"Kepong, Kuala Lumpur",485000,3,2.0,1,Condominium,950,Fully Furnished,Condo,3.2126,101.637
"Desa ParkCity, Kuala Lumpur",1160000,3,2.0,2,Condominium (Intermediate),1389,Partly Furnished,Condo,3.1865,101.6341
"KLCC, Kuala Lumpur",1300000,1,1.0,2,Serviced Residence,925,Partly Furnished,Serviced Residence,3.1578,101.7123
"Wangsa Maju, Kuala Lumpur",1174338,5,5.0,3,Condominium (Corner),2266,Partly Furnished,Condo,3.2041,101.7372
"Mont Kiara, Kuala Lumpur",1600000,4,4.0,2,Condominium,1496,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1250000,2,2.0,1,Condominium,736,Partly Furnished,Condo,3.1578,101.7123
"KL Sentral, Kuala Lumpur",1049888,2,2.0,2,Serviced Residence,858,Partly Furnished,Serviced Residence,3.1328,101.6851
"Mont Kiara, Kuala Lumpur",1850000,5,4.0,2,Condominium (Corner),1830,Partly Furnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",920000,5,3.0,2,Condominium,1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium (EndLot),751,Partly Furnished,Condo,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,2,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",1060000,5,3.0,4,Condominium (Corner),1772,Partly Furnished,Condo,3.0593,101.6895
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",738000,4,2.0,2,Condominium (EndLot),1092,Partly Furnished,Condo,3.0925,101.6748
"KLCC, Kuala Lumpur",1450000,2,2.0,1,Condominium,867,Fully Furnished,Condo,3.1578,101.7123
"Cheras, Kuala Lumpur",715000,3,2.0,1,Condominium (Intermediate),750,Fully Furnished,Condo,3.0958,101.7405
"Wangsa Maju, Kuala Lumpur",950000,3,3.0,2,Condominium,1637,Partly Furnished,Condo,3.2041,101.7372
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,3,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",1250000,2,1.0,1,Serviced Residence (Corner),880,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",1050000,5,3.0,4,Condominium (Corner),1772,Partly Furnished,Condo,3.0593,101.6895
"Cheras, Kuala Lumpur",780000,1,1.0,1,Apartment (Intermediate),624,Fully Furnished,Apartment,3.0958,101.7405
"KLCC, Kuala Lumpur",1350000,2,2.0,2,Condominium (Corner),1270,Fully Furnished,Condo,3.1578,101.7123
"Damansara Heights, Kuala Lumpur",2650000,4,4.0,3,Serviced Residence,2077,Partly Furnished,Serviced Residence,3.1412,101.6618
"Mont Kiara, Kuala Lumpur",2450000,5,4.0,3,Condominium (Corner),3000,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2550000,5,6.0,3,Condominium,3541,Partly Furnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",930000,5,4.0,2,Condominium,1513,Partly Furnished,Condo,3.0593,101.6895
"Cheras, Kuala Lumpur",535000,1,1.0,1,Serviced Residence (Intermediate),762,Partly Furnished,Serviced Residence,3.0958,101.7405
"KLCC, Kuala Lumpur",2400000,2,2.0,1,Serviced Residence (Intermediate),1006,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1250000,1,1.0,1,Serviced Residence,850,Fully Furnished,Serviced Residence,3.1578,101.7123
