Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"Desa ParkCity, Kuala Lumpur",2800000,4,4.0,2,3-sty Terrace/Link House (Intermediate),3210,Partly Furnished,Terrace/Link House,3.1865,101.6341
"KLCC, Kuala Lumpur",2289600,3,2.0,1,Serviced Residence,1325,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1776600,3,3.0,1,Serviced Residence,1055,Fully Furnished,Serviced Residence,3.1578,101.7123
"KL City, Kuala Lumpur",865000,1,1.0,1,Serviced Residence,762,Fully Furnished,Serviced Residence,3.1543,101.7155
"Dutamas, Kuala Lumpur",11500,6,6.0,2,3-sty Terrace/Link House (Intermediate),5000,Fully Furnished,Terrace/Link House,3.1822,101.6654
"Dutamas, Kuala Lumpur",10000,6,6.0,2,3-sty Terrace/Link House (Intermediate),5000,Fully Furnished,Terrace/Link House,3.1822,101.6654
"Desa ParkCity, Kuala Lumpur",1660000,4,4.0,2,3-sty Terrace/Link House,1900,Fully Furnished,Terrace/Link House,3.1865,101.6341
"Cheras, Kuala Lumpur",790000,5,3.0,2,2-sty Terrace/Link House (Intermediate),1500,Unfurnished,Terrace/Link House,3.0958,101.7405
"Bangsar, Kuala Lumpur",580000,1,1.0,1,Condominium,750,Fully Furnished,Condo,3.1283,101.6793
"Mont Kiara, Kuala Lumpur",1120000,3,2.0,1,Serviced Residence,973,Partly Furnished,Serviced Residence,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1100000,4,3.0,1,Condominium (Corner),1690,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",2934400,5,6.0,3,Condominium (Corner),3668,Partly Furnished,Condo,3.1718,101.6501
"Pandan Indah, Kuala Lumpur",390000,3,2.0,2,Townhouse (Intermediate),990,Partly Furnished,Townhouse,3.1266,101.7494
"Pantai, Kuala Lumpur",465000,3,2.0,1,Condominium (Corner),1039,Partly Furnished,Condo,3.1136,101.6633
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",470000,3,2.0,2,Flat,1008,Partly Furnished,Flat,3.0925,101.6748
